PATH	UNIPROT	PATHNAME
hsa04070	P29218	Phosphatidylinositol signaling system
hsa04070	P42338	Phosphatidylinositol signaling system
hsa04070	P52824	Phosphatidylinositol signaling system
hsa04070	Q6PFW1	Phosphatidylinositol signaling system
hsa04070	P0DP23	Phosphatidylinositol signaling system
hsa04070	O15357	Phosphatidylinositol signaling system
hsa04070	P23677	Phosphatidylinositol signaling system
hsa04070	Q13614	Phosphatidylinositol signaling system
hsa04070	Q9Y216	Phosphatidylinositol signaling system
hsa04070	P0DP23	Phosphatidylinositol signaling system
hsa04070	P23743	Phosphatidylinositol signaling system
hsa04070	O95674	Phosphatidylinositol signaling system
hsa04070	Q9NYA4	Phosphatidylinositol signaling system
hsa04070	P19174	Phosphatidylinositol signaling system
hsa04070	P05129	Phosphatidylinositol signaling system
hsa04070	O15327	Phosphatidylinositol signaling system
hsa04070	Q15147	Phosphatidylinositol signaling system
hsa04070	Q16760	Phosphatidylinositol signaling system
hsa04070	Q92551	Phosphatidylinositol signaling system
hsa04070	Q92903	Phosphatidylinositol signaling system
hsa04070	O14986	Phosphatidylinositol signaling system
hsa04070	P17252	Phosphatidylinositol signaling system
hsa04070	Q8TD86	Phosphatidylinositol signaling system
hsa04070	Q13615	Phosphatidylinositol signaling system
hsa04070	P27986	Phosphatidylinositol signaling system
hsa04070	Q96EF0	Phosphatidylinositol signaling system
hsa04070	P27987	Phosphatidylinositol signaling system
hsa04070	P0DP24	Phosphatidylinositol signaling system
hsa04070	P49441	Phosphatidylinositol signaling system
hsa04070	Q8N4L2	Phosphatidylinositol signaling system
hsa04070	Q9Y2I7	Phosphatidylinositol signaling system
hsa04070	Q8N3E9	Phosphatidylinositol signaling system
hsa04070	P32019	Phosphatidylinositol signaling system
hsa04070	Q00722	Phosphatidylinositol signaling system
hsa04070	Q01968	Phosphatidylinositol signaling system
hsa04070	Q14573	Phosphatidylinositol signaling system
hsa04070	P0DP25	Phosphatidylinositol signaling system
hsa04070	O00750	Phosphatidylinositol signaling system
hsa04070	Q14643	Phosphatidylinositol signaling system
hsa04070	O14732	Phosphatidylinositol signaling system
hsa04070	Q86YW0	Phosphatidylinositol signaling system
hsa04070	Q9Y2H2	Phosphatidylinositol signaling system
hsa04070	Q8NCE2	Phosphatidylinositol signaling system
hsa04070	Q9BRC7	Phosphatidylinositol signaling system
hsa04070	Q99755	Phosphatidylinositol signaling system
hsa04070	O60331	Phosphatidylinositol signaling system
hsa04070	Q9BTU6	Phosphatidylinositol signaling system
hsa04070	O15056	Phosphatidylinositol signaling system
hsa04070	P48426	Phosphatidylinositol signaling system
hsa04070	Q13572	Phosphatidylinositol signaling system
hsa04070	Q9NQ66	Phosphatidylinositol signaling system
hsa04070	P16885	Phosphatidylinositol signaling system
hsa04070	Q9Y217	Phosphatidylinositol signaling system
hsa04070	Q96GE6	Phosphatidylinositol signaling system
hsa04070	Q14571	Phosphatidylinositol signaling system
hsa04070	Q13496	Phosphatidylinositol signaling system
hsa04070	Q9UHH9	Phosphatidylinositol signaling system
hsa04070	P52429	Phosphatidylinositol signaling system
hsa04070	Q8TBX8	Phosphatidylinositol signaling system
hsa04070	P60484	Phosphatidylinositol signaling system
hsa04070	Q8NEB9	Phosphatidylinositol signaling system
hsa04070	Q9NTJ5	Phosphatidylinositol signaling system
hsa04070	Q86T03	Phosphatidylinositol signaling system
hsa04070	O00459	Phosphatidylinositol signaling system
hsa04070	O00443	Phosphatidylinositol signaling system
hsa04070	Q92835	Phosphatidylinositol signaling system
hsa04070	P0DP24	Phosphatidylinositol signaling system
hsa04070	P42356	Phosphatidylinositol signaling system
hsa04070	Q96PC2	Phosphatidylinositol signaling system
hsa04070	Q9P212	Phosphatidylinositol signaling system
hsa04070	P78356	Phosphatidylinositol signaling system
hsa04070	Q01970	Phosphatidylinositol signaling system
hsa04070	O14735	Phosphatidylinositol signaling system
hsa04070	Q9NRR6	Phosphatidylinositol signaling system
hsa04070	O75912	Phosphatidylinositol signaling system
hsa04070	O75747	Phosphatidylinositol signaling system
hsa04070	O43426	Phosphatidylinositol signaling system
hsa04070	O00329	Phosphatidylinositol signaling system
hsa04070	Q8NFU5	Phosphatidylinositol signaling system
hsa04070	Q86XP1	Phosphatidylinositol signaling system
hsa04070	Q9NX62	Phosphatidylinositol signaling system
hsa04070	Q9H8X2	Phosphatidylinositol signaling system
hsa04070	Q8TCG2	Phosphatidylinositol signaling system
hsa04070	O43314	Phosphatidylinositol signaling system
hsa04070	P42336	Phosphatidylinositol signaling system
hsa04070	P0DP25	Phosphatidylinositol signaling system
hsa04070	P0DP24	Phosphatidylinositol signaling system
hsa04070	Q5KSL6	Phosphatidylinositol signaling system
hsa04070	P51178	Phosphatidylinositol signaling system
hsa04070	Q96DU7	Phosphatidylinositol signaling system
hsa04070	Q96PE3	Phosphatidylinositol signaling system
hsa04070	P49619	Phosphatidylinositol signaling system
hsa04071	P04049	Sphingolipid signaling pathway
hsa04071	P27986	Sphingolipid signaling pathway
hsa04071	P04899	Sphingolipid signaling pathway
hsa04071	Q16539	Sphingolipid signaling pathway
hsa04071	P01116	Sphingolipid signaling pathway
hsa04071	P30542	Sphingolipid signaling pathway
hsa04071	Q9Y5P8	Sphingolipid signaling pathway
hsa04071	Q04206	Sphingolipid signaling pathway
hsa04071	P01042	Sphingolipid signaling pathway
hsa04071	P30154	Sphingolipid signaling pathway
hsa04071	Q06190	Sphingolipid signaling pathway
hsa04071	P60763	Sphingolipid signaling pathway
hsa04071	P05771	Sphingolipid signaling pathway
hsa04071	P30273	Sphingolipid signaling pathway
hsa04071	Q969W0	Sphingolipid signaling pathway
hsa04071	P55957	Sphingolipid signaling pathway
hsa04071	O95977	Sphingolipid signaling pathway
hsa04071	Q9NYA1	Sphingolipid signaling pathway
hsa04071	Q13510	Sphingolipid signaling pathway
hsa04071	P17405	Sphingolipid signaling pathway
hsa04071	Q01362	Sphingolipid signaling pathway
hsa04071	Q02750	Sphingolipid signaling pathway
hsa04071	P62714	Sphingolipid signaling pathway
hsa04071	Q9NRA0	Sphingolipid signaling pathway
hsa04071	Q969Q6	Sphingolipid signaling pathway
hsa04071	P53779	Sphingolipid signaling pathway
hsa04071	Q13464	Sphingolipid signaling pathway
hsa04071	P12319	Sphingolipid signaling pathway
hsa04071	P63096	Sphingolipid signaling pathway
hsa04071	P30153	Sphingolipid signaling pathway
hsa04071	Q9NR71	Sphingolipid signaling pathway
hsa04071	P42338	Sphingolipid signaling pathway
hsa04071	P33527	Sphingolipid signaling pathway
hsa04071	P60484	Sphingolipid signaling pathway
hsa04071	P45983	Sphingolipid signaling pathway
hsa04071	Q12933	Sphingolipid signaling pathway
hsa04071	O15270	Sphingolipid signaling pathway
hsa04071	Q14344	Sphingolipid signaling pathway
hsa04071	P07339	Sphingolipid signaling pathway
hsa04071	P15153	Sphingolipid signaling pathway
hsa04071	Q07812	Sphingolipid signaling pathway
hsa04071	O14939	Sphingolipid signaling pathway
hsa04071	Q03113	Sphingolipid signaling pathway
hsa04071	O15530	Sphingolipid signaling pathway
hsa04071	Q9UQC2	Sphingolipid signaling pathway
hsa04071	P05129	Sphingolipid signaling pathway
hsa04071	Q9Y243	Sphingolipid signaling pathway
hsa04071	P19838	Sphingolipid signaling pathway
hsa04071	Q66LE6	Sphingolipid signaling pathway
hsa04071	Q15173	Sphingolipid signaling pathway
hsa04071	Q92636	Sphingolipid signaling pathway
hsa04071	Q9Y2T4	Sphingolipid signaling pathway
hsa04071	Q96G23	Sphingolipid signaling pathway
hsa04071	Q9NUV7	Sphingolipid signaling pathway
hsa04071	Q16537	Sphingolipid signaling pathway
hsa04071	P01375	Sphingolipid signaling pathway
hsa04071	Q01970	Sphingolipid signaling pathway
hsa04071	Q9HA82	Sphingolipid signaling pathway
hsa04071	Q02156	Sphingolipid signaling pathway
hsa04071	Q00005	Sphingolipid signaling pathway
hsa04071	Q92569	Sphingolipid signaling pathway
hsa04071	O60906	Sphingolipid signaling pathway
hsa04071	P45984	Sphingolipid signaling pathway
hsa04071	Q6QHC5	Sphingolipid signaling pathway
hsa04071	P67775	Sphingolipid signaling pathway
hsa04071	O15264	Sphingolipid signaling pathway
hsa04071	P41143	Sphingolipid signaling pathway
hsa04071	O75116	Sphingolipid signaling pathway
hsa04071	P31749	Sphingolipid signaling pathway
hsa04071	P29474	Sphingolipid signaling pathway
hsa04071	Q05513	Sphingolipid signaling pathway
hsa04071	Q8NHU3	Sphingolipid signaling pathway
hsa04071	Q8NFR3	Sphingolipid signaling pathway
hsa04071	P61586	Sphingolipid signaling pathway
hsa04071	P63000	Sphingolipid signaling pathway
hsa04071	O15269	Sphingolipid signaling pathway
hsa04071	P31751	Sphingolipid signaling pathway
hsa04071	P08754	Sphingolipid signaling pathway
hsa04071	P06241	Sphingolipid signaling pathway
hsa04071	Q9NQ66	Sphingolipid signaling pathway
hsa04071	P36507	Sphingolipid signaling pathway
hsa04071	Q5QJU3	Sphingolipid signaling pathway
hsa04071	P28482	Sphingolipid signaling pathway
hsa04071	P21453	Sphingolipid signaling pathway
hsa04071	Q15759	Sphingolipid signaling pathway
hsa04071	Q14738	Sphingolipid signaling pathway
hsa04071	P27361	Sphingolipid signaling pathway
hsa04071	Q9BX95	Sphingolipid signaling pathway
hsa04071	Q13362	Sphingolipid signaling pathway
hsa04071	P17252	Sphingolipid signaling pathway
hsa04071	O00329	Sphingolipid signaling pathway
hsa04071	Q86VZ5	Sphingolipid signaling pathway
hsa04071	O95136	Sphingolipid signaling pathway
hsa04071	P42336	Sphingolipid signaling pathway
hsa04071	Q99500	Sphingolipid signaling pathway
hsa04071	P30411	Sphingolipid signaling pathway
hsa04071	P10415	Sphingolipid signaling pathway
hsa04071	P53778	Sphingolipid signaling pathway
hsa04071	Q8TDN7	Sphingolipid signaling pathway
hsa04071	P01112	Sphingolipid signaling pathway
hsa04071	Q9H228	Sphingolipid signaling pathway
hsa04071	Q99683	Sphingolipid signaling pathway
hsa04071	O15121	Sphingolipid signaling pathway
hsa04071	P01111	Sphingolipid signaling pathway
hsa04071	Q15628	Sphingolipid signaling pathway
hsa04071	P63151	Sphingolipid signaling pathway
hsa04071	Q15147	Sphingolipid signaling pathway
hsa04071	O00459	Sphingolipid signaling pathway
hsa04071	P27544	Sphingolipid signaling pathway
hsa04071	Q8N5B7	Sphingolipid signaling pathway
hsa04071	Q00722	Sphingolipid signaling pathway
hsa04071	Q13393	Sphingolipid signaling pathway
hsa04071	P19438	Sphingolipid signaling pathway
hsa04071	Q15172	Sphingolipid signaling pathway
hsa04071	Q6ZMG9	Sphingolipid signaling pathway
hsa04071	P0DMS8	Sphingolipid signaling pathway
hsa04071	Q8IWX5	Sphingolipid signaling pathway
hsa04071	Q8IU89	Sphingolipid signaling pathway
hsa04071	P04637	Sphingolipid signaling pathway
hsa04071	O95470	Sphingolipid signaling pathway
hsa04071	P50148	Sphingolipid signaling pathway
hsa04072	P11234	Phospholipase D signaling pathway
hsa04072	P48736	Phospholipase D signaling pathway
hsa04072	O43688	Phospholipase D signaling pathway
hsa04072	Q9UQC2	Phospholipase D signaling pathway
hsa04072	P01112	Phospholipase D signaling pathway
hsa04072	Q08462	Phospholipase D signaling pathway
hsa04072	Q01362	Phospholipase D signaling pathway
hsa04072	Q02750	Phospholipase D signaling pathway
hsa04072	Q14831	Phospholipase D signaling pathway
hsa04072	Q14344	Phospholipase D signaling pathway
hsa04072	P51828	Phospholipase D signaling pathway
hsa04072	Q68DD2	Phospholipase D signaling pathway
hsa04072	Q3MJ16	Phospholipase D signaling pathway
hsa04072	P98077	Phospholipase D signaling pathway
hsa04072	P00533	Phospholipase D signaling pathway
hsa04072	Q92529	Phospholipase D signaling pathway
hsa04072	P30518	Phospholipase D signaling pathway
hsa04072	P16234	Phospholipase D signaling pathway
hsa04072	Q9H1C0	Phospholipase D signaling pathway
hsa04072	O15120	Phospholipase D signaling pathway
hsa04072	P42338	Phospholipase D signaling pathway
hsa04072	P62070	Phospholipase D signaling pathway
hsa04072	O60503	Phospholipase D signaling pathway
hsa04072	O14807	Phospholipase D signaling pathway
hsa04072	Q92574	Phospholipase D signaling pathway
hsa04072	P36507	Phospholipase D signaling pathway
hsa04072	Q9UBY5	Phospholipase D signaling pathway
hsa04072	P28482	Phospholipase D signaling pathway
hsa04072	P0C869	Phospholipase D signaling pathway
hsa04072	P42336	Phospholipase D signaling pathway
hsa04072	Q01970	Phospholipase D signaling pathway
hsa04072	Q9UIA0	Phospholipase D signaling pathway
hsa04072	Q00722	Phospholipase D signaling pathway
hsa04072	P25025	Phospholipase D signaling pathway
hsa04072	Q5UE93	Phospholipase D signaling pathway
hsa04072	Q9Y243	Phospholipase D signaling pathway
hsa04072	P29353	Phospholipase D signaling pathway
hsa04072	Q9UQ16	Phospholipase D signaling pathway
hsa04072	Q14832	Phospholipase D signaling pathway
hsa04072	P19174	Phospholipase D signaling pathway
hsa04072	Q99677	Phospholipase D signaling pathway
hsa04072	Q03113	Phospholipase D signaling pathway
hsa04072	Q9Y6T7	Phospholipase D signaling pathway
hsa04072	Q9NRA1	Phospholipase D signaling pathway
hsa04072	P49619	Phospholipase D signaling pathway
hsa04072	P06213	Phospholipase D signaling pathway
hsa04072	Q14416	Phospholipase D signaling pathway
hsa04072	O43739	Phospholipase D signaling pathway
hsa04072	P47712	Phospholipase D signaling pathway
hsa04072	P09619	Phospholipase D signaling pathway
hsa04072	O75912	Phospholipase D signaling pathway
hsa04072	Q14289	Phospholipase D signaling pathway
hsa04072	P12319	Phospholipase D signaling pathway
hsa04072	P37288	Phospholipase D signaling pathway
hsa04072	O14939	Phospholipase D signaling pathway
hsa04072	Q5KSL6	Phospholipase D signaling pathway
hsa04072	P52824	Phospholipase D signaling pathway
hsa04072	Q16760	Phospholipase D signaling pathway
hsa04072	O60266	Phospholipase D signaling pathway
hsa04072	O00222	Phospholipase D signaling pathway
hsa04072	P23743	Phospholipase D signaling pathway
hsa04072	Q99943	Phospholipase D signaling pathway
hsa04072	O14986	Phospholipase D signaling pathway
hsa04072	P25024	Phospholipase D signaling pathway
hsa04072	Q9NUQ2	Phospholipase D signaling pathway
hsa04072	P25116	Phospholipase D signaling pathway
hsa04072	P52429	Phospholipase D signaling pathway
hsa04072	P06241	Phospholipase D signaling pathway
hsa04072	O00459	Phospholipase D signaling pathway
hsa04072	O95622	Phospholipase D signaling pathway
hsa04072	Q8WZA2	Phospholipase D signaling pathway
hsa04072	P01308	Phospholipase D signaling pathway
hsa04072	P43405	Phospholipase D signaling pathway
hsa04072	P04085	Phospholipase D signaling pathway
hsa04072	P01116	Phospholipase D signaling pathway
hsa04072	Q86XP0	Phospholipase D signaling pathway
hsa04072	O14495	Phospholipase D signaling pathway
hsa04072	Q8NFM4	Phospholipase D signaling pathway
hsa04072	P10145	Phospholipase D signaling pathway
hsa04072	Q13255	Phospholipase D signaling pathway
hsa04072	Q13393	Phospholipase D signaling pathway
hsa04072	P0C869	Phospholipase D signaling pathway
hsa04072	P42345	Phospholipase D signaling pathway
hsa04072	O00329	Phospholipase D signaling pathway
hsa04072	P62330	Phospholipase D signaling pathway
hsa04072	P04049	Phospholipase D signaling pathway
hsa04072	Q9UP65	Phospholipase D signaling pathway
hsa04072	Q15382	Phospholipase D signaling pathway
hsa04072	P01133	Phospholipase D signaling pathway
hsa04072	Q14833	Phospholipase D signaling pathway
hsa04072	O95398	Phospholipase D signaling pathway
hsa04072	P10721	Phospholipase D signaling pathway
hsa04072	O95467	Phospholipase D signaling pathway
hsa04072	P62993	Phospholipase D signaling pathway
hsa04072	Q12967	Phospholipase D signaling pathway
hsa04072	O15303	Phospholipase D signaling pathway
hsa04072	Q06124	Phospholipase D signaling pathway
hsa04072	Q92569	Phospholipase D signaling pathway
hsa04072	Q07889	Phospholipase D signaling pathway
hsa04072	P30273	Phospholipase D signaling pathway
hsa04072	O14494	Phospholipase D signaling pathway
hsa04072	Q15438	Phospholipase D signaling pathway
hsa04072	P16885	Phospholipase D signaling pathway
hsa04072	P27361	Phospholipase D signaling pathway
hsa04072	P84077	Phospholipase D signaling pathway
hsa04072	O43306	Phospholipase D signaling pathway
hsa04072	Q9NRA0	Phospholipase D signaling pathway
hsa04072	Q99755	Phospholipase D signaling pathway
hsa04072	P17252	Phospholipase D signaling pathway
hsa04072	P10301	Phospholipase D signaling pathway
hsa04072	Q6S5L8	Phospholipase D signaling pathway
hsa04072	Q13480	Phospholipase D signaling pathway
hsa04072	P27986	Phospholipase D signaling pathway
hsa04072	P01185	Phospholipase D signaling pathway
hsa04072	P40145	Phospholipase D signaling pathway
hsa04072	O60331	Phospholipase D signaling pathway
hsa04072	P21583	Phospholipase D signaling pathway
hsa04072	Q13574	Phospholipase D signaling pathway
hsa04072	P63092	Phospholipase D signaling pathway
hsa04072	Q99418	Phospholipase D signaling pathway
hsa04072	Q07890	Phospholipase D signaling pathway
hsa04072	P47901	Phospholipase D signaling pathway
hsa04072	P01111	Phospholipase D signaling pathway
hsa04072	P43088	Phospholipase D signaling pathway
hsa04072	Q92633	Phospholipase D signaling pathway
hsa04072	Q9NQ66	Phospholipase D signaling pathway
hsa04072	Q15147	Phospholipase D signaling pathway
hsa04072	P50570	Phospholipase D signaling pathway
hsa04072	Q9NYA1	Phospholipase D signaling pathway
hsa04072	Q9NRZ7	Phospholipase D signaling pathway
hsa04072	Q86XP1	Phospholipase D signaling pathway
hsa04072	Q9GZP0	Phospholipase D signaling pathway
hsa04072	P43657	Phospholipase D signaling pathway
hsa04072	P01127	Phospholipase D signaling pathway
hsa04072	P30556	Phospholipase D signaling pathway
hsa04072	Q8WYR1	Phospholipase D signaling pathway
hsa04072	P31749	Phospholipase D signaling pathway
hsa04072	Q05193	Phospholipase D signaling pathway
hsa04072	P49815	Phospholipase D signaling pathway
hsa04072	P11233	Phospholipase D signaling pathway
hsa04072	P61586	Phospholipase D signaling pathway
hsa04072	Q9NRZ5	Phospholipase D signaling pathway
hsa04072	P31751	Phospholipase D signaling pathway
hsa04072	P41594	Phospholipase D signaling pathway
hsa04072	P00734	Phospholipase D signaling pathway
hsa04115	O95257	p53 signaling pathway
hsa04115	P55957	p53 signaling pathway
hsa04115	Q53FA7	p53 signaling pathway
hsa04115	P17936	p53 signaling pathway
hsa04115	Q658P3	p53 signaling pathway
hsa04115	P30281	p53 signaling pathway
hsa04115	O96017	p53 signaling pathway
hsa04115	P14635	p53 signaling pathway
hsa04115	P36952	p53 signaling pathway
hsa04115	P30279	p53 signaling pathway
hsa04115	O14763	p53 signaling pathway
hsa04115	Q9NYZ3	p53 signaling pathway
hsa04115	Q9Y6P5	p53 signaling pathway
hsa04115	Q9HB75	p53 signaling pathway
hsa04115	P04637	p53 signaling pathway
hsa04115	P55211	p53 signaling pathway
hsa04115	Q16589	p53 signaling pathway
hsa04115	Q96FX8	p53 signaling pathway
hsa04115	Q9HA38	p53 signaling pathway
hsa04115	P31350	p53 signaling pathway
hsa04115	Q8WUF5	p53 signaling pathway
hsa04115	P58004	p53 signaling pathway
hsa04115	P49815	p53 signaling pathway
hsa04115	O15350	p53 signaling pathway
hsa04115	P99999	p53 signaling pathway
hsa04115	O14757	p53 signaling pathway
hsa04115	O95067	p53 signaling pathway
hsa04115	P42771	p53 signaling pathway
hsa04115	Q96PM5	p53 signaling pathway
hsa04115	O96020	p53 signaling pathway
hsa04115	O14727	p53 signaling pathway
hsa04115	Q9HCN2	p53 signaling pathway
hsa04115	Q07812	p53 signaling pathway
hsa04115	P31947	p53 signaling pathway
hsa04115	Q96PM9	p53 signaling pathway
hsa04115	P51959	p53 signaling pathway
hsa04115	Q07817	p53 signaling pathway
hsa04115	Q9BRQ8	p53 signaling pathway
hsa04115	O15151	p53 signaling pathway
hsa04115	Q13315	p53 signaling pathway
hsa04115	Q00987	p53 signaling pathway
hsa04115	Q9BXH1	p53 signaling pathway
hsa04115	O14514	p53 signaling pathway
hsa04115	O15297	p53 signaling pathway
hsa04115	Q13535	p53 signaling pathway
hsa04115	Q14790	p53 signaling pathway
hsa04115	Q7LG56	p53 signaling pathway
hsa04115	P06493	p53 signaling pathway
hsa04115	Q13794	p53 signaling pathway
hsa04115	P24522	p53 signaling pathway
hsa04115	O15304	p53 signaling pathway
hsa04115	P27701	p53 signaling pathway
hsa04115	P58005	p53 signaling pathway
hsa04115	P24385	p53 signaling pathway
hsa04115	Q8N114	p53 signaling pathway
hsa04115	P07996	p53 signaling pathway
hsa04115	P11802	p53 signaling pathway
hsa04115	Q5T7V8	p53 signaling pathway
hsa04115	P05019	p53 signaling pathway
hsa04115	Q96PG8	p53 signaling pathway
hsa04115	P10415	p53 signaling pathway
hsa04115	O14681	p53 signaling pathway
hsa04115	P60484	p53 signaling pathway
hsa04115	Q92466	p53 signaling pathway
hsa04115	Q8NHY2	p53 signaling pathway
hsa04115	P05121	p53 signaling pathway
hsa04115	O00220	p53 signaling pathway
hsa04115	Q9NS64	p53 signaling pathway
hsa04115	P24941	p53 signaling pathway
hsa04115	P38936	p53 signaling pathway
hsa04115	Q00534	p53 signaling pathway
hsa04115	P25445	p53 signaling pathway
hsa04115	P42574	p53 signaling pathway
hsa04115	P24864	p53 signaling pathway
hsa04115	Q8IUQ4	p53 signaling pathway
hsa04115	O75293	p53 signaling pathway
hsa04150	P04628	mTOR signaling pathway
hsa04150	P08069	mTOR signaling pathway
hsa04150	Q6PJI9	mTOR signaling pathway
hsa04150	O14905	mTOR signaling pathway
hsa04150	O14640	mTOR signaling pathway
